acct_id,tx_date,amount,type
1161282b,20130815,5.0,sys_rev_of_dr
05c73f25,20130815,5.0,sys_rev_of_dr
e527061e,20140630,-1.0,pos_wd_cash
fdcd0afe,20140630,-1.0,pos_wd_cash
bb65ffed,20140630,-1.0,pos_wd_cash
0a1be23f,20140630,-1.0,pos_wd_cash
361337cf,20140630,-1.0,pos_wd_cash
1ddd8bc1,20140630,-1.0,pos_wd_cash
fd6e22c9,20140630,-1.0,pos_wd_cash
dc9b1dba,20140630,-1.0,pos_wd_cash
c947357b,20130815,5.0,sys_rev_of_dr
85734995,20140630,-1.0,pos_wd_cash
2f7de7df,20140630,-1.0,pos_wd_cash
f8c93876,20140630,-1.0,pos_wd_cash
781d6aa7,20140630,-1.0,pos_wd_cash
d3a0f622,20140630,-1.0,pos_wd_cash
0a361584,20140630,-1.0,pos_wd_cash
32e1aaac,20140630,-1.0,pos_wd_cash
a760a107,20140630,-1.0,pos_wd_cash
a59f5b79,20140630,-1.0,pos_wd_cash
261127a0,20140630,-1.0,pos_wd_cash
d4029d83,20140630,-1.0,pos_wd_cash
1539d661,20140630,-1.0,pos_wd_cash
c7300063,20131231,-1.0,pos_wd_cash
4b100afa,20131231,-1.0,pos_wd_cash
98378549,20131231,-1.0,pos_wd_cash
0048fcaf,20140630,-1.0,pos_wd_cash
28df2ab4,20140630,-1.0,pos_wd_cash
4d49b7b0,20140630,-1.0,pos_wd_cash
fe425be2,20140630,-1.0,pos_wd_cash
f75ed4c7,20140630,-1.0,pos_wd_cash
ef5cae05,20140630,-1.0,pos_wd_cash
cfcd5071,20140630,-1.0,pos_wd_cash
21bc2b65,20131231,-1.0,pos_wd_cash
51c3baed,20140630,-1.0,pos_wd_cash
acb8d4cb,20131231,-1.0,pos_wd_cash
65f7a038,20131231,-1.0,pos_wd_cash
e62fe94d,20131231,-1.0,pos_wd_cash
9b698b14,20131231,-1.0,pos_wd_cash
b9e9f633,20131231,-1.0,pos_wd_cash
13da6300,20131231,-1.0,pos_wd_cash
1b734a8b,20131231,-1.0,pos_wd_cash
5e85399d,20140630,-1.0,pos_wd_cash
edfd8418,20140630,-1.0,pos_wd_cash
4063d198,20131231,-1.0,pos_wd_cash
bd752750,20140630,-1.0,pos_wd_cash
70707f60,20140630,-1.0,pos_wd_cash
6b204958,20140630,-1.0,pos_wd_cash
db2c7cc8,20140630,-1.0,pos_wd_cash
1e175d13,20131231,-1.0,pos_wd_cash
db196848,20140630,-1.0,pos_wd_cash
08058943,20140630,-1.0,pos_wd_cash
733083bd,20131231,-1.0,pos_wd_cash
400e45eb,20131231,-1.0,pos_wd_cash
